Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
32,Alex Muralha,br BRA,GK,Coritiba,32,1989,19,19,1710,19.0,27,1.42,89,63,71.9,6,3,10,5,26.3,2,2,0,0,0.0,Matches,38082f12
33,João Paulo,br BRA,GK,Santos,26,1995,37,37,3330,37.0,41,1.11,172,132,79.7,12,10,15,10,27.0,7,6,0,1,0.0,Matches,d0102ca0
34,Pegorari,br BRA,GK,Juventude,30,1991,13,13,1142,12.7,28,2.21,78,51,66.7,0,4,8,0,0.0,3,2,1,0,33.3,Matches,2ad9d2e3
35,Lucas Perri,br BRA,GK,Botafogo (RJ),24,1997,4,3,341,3.8,3,0.79,12,10,75.0,2,0,1,3,100.0,0,0,0,0,,Matches,5dbd461a
36,Rafael Pires,br BRA,GK,Atlético Mineiro,32,1989,1,1,90,1.0,0,0.00,2,2,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,539f6761
37,Luan Polli,br BRA,GK,Atl Goianiense,28,1993,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches,96aa89c4
38,César Reis,br BRA,GK,Juventude,26,1995,25,24,2188,24.3,41,1.69,117,75,68.4,2,9,13,3,12.5,6,4,2,0,33.3,Matches,76d4135b
39,João Ricardo Riedi,br BRA,GK,Ceará,33,1988,35,35,3150,35.0,39,1.11,155,114,78.1,6,14,15,7,20.0,7,5,2,0,28.6,Matches,4729d71a
40,Richard,br BRA,GK,Ceará,30,1991,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches,f2c12e8d
41,Ronaldo,br BRA,GK,Atl Goianiense,25,1996,18,18,1620,18.0,27,1.50,86,61,70.9,4,4,10,2,11.1,2,2,0,0,0.0,Matches,711c08dc
42,Santos,br BRA,GK,Flamengo,31,1990,19,19,1710,19.0,14,0.74,70,57,82.9,12,4,3,8,42.1,2,2,0,0,0.0,Matches,b8d0b69c
43,Cleiton Schwengber,br BRA,GK,Bragantino,24,1997,37,37,3330,37.0,57,1.54,163,107,70.6,11,11,15,7,18.9,11,9,1,1,10.0,Matches,d24ae824
44,Vinicius Silvestre,br BRA,GK,Palmeiras,27,1994,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,Matches,1944518a
45,Hugo Souza,br BRA,GK,Flamengo,23,1999,15,14,1286,14.3,17,1.19,53,36,71.7,4,4,6,2,14.3,2,2,0,0,0.0,Matches,c02e5af1
46,Tadeu,br BRA,GK,Goiás,29,1992,38,38,3420,38.0,53,1.39,200,146,77.0,11,13,14,8,21.1,9,7,1,1,12.5,Matches,8445554f
47,Thiago,br BRA,GK,São Paulo,22,1999,3,2,242,2.7,7,2.60,18,11,66.7,0,2,0,0,0.0,1,1,0,0,0.0,Matches,602d20ae
48,Vladimir,br BRA,GK,Avaí,32,1989,23,22,2025,22.5,37,1.64,115,77,73.0,3,6,13,3,13.6,8,6,1,1,14.3,Matches,bbae502c
49,Max Walef,br BRA,GK,Fortaleza,28,1993,5,5,450,5.0,6,1.20,17,12,64.7,0,1,4,0,0.0,0,0,0,0,,Matches,6411a48d
50,Walter,br BRA,GK,Cuiabá,34,1987,28,28,2469,27.4,26,0.95,125,100,80.8,8,8,11,8,28.6,3,2,0,1,0.0,Matches,8bae322b
51,Wéverton,br BRA,GK,Palmeiras,34,1987,34,34,3060,34.0,24,0.71,106,84,80.2,21,11,2,16,47.1,3,3,0,0,0.0,Matches,81be82e9
52,Rafael William,br BRA,GK,Coritiba,20,2001,6,6,540,6.0,14,2.33,36,22,66.7,1,1,4,0,0.0,2,2,0,0,0.0,Matches,eb9f6c10
