Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
489,Haris Seferović,ch SUI,FW,Benfica,29,1992,4.4,57,89,64.0,795,154,30,46,65.2,18,25,72.0,4,6,66.7,2,1.3,1.0,+0.7,6,2,2,0,2,Matches,a45eac1f
490,Alfa Semedo,gw GNB,MF,Vitória,23,1997,16.4,658,811,81.1,12262,3471,267,305,87.5,298,354,84.2,80,111,72.1,0,1.0,0.6,-1.0,9,50,1,1,49,Matches,07750704
491,Rúben Semedo,pt POR,DF,Porto,27,1994,0.1,4,4,100.0,77,4,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,c904f3d5
492,Nuno Sequeira,pt POR,DF,Braga,30,1990,4.9,333,415,80.2,5663,2361,155,175,88.6,146,174,83.9,28,52,53.8,1,0.3,0.4,+0.7,5,32,6,5,15,Matches,7a2cf111
493,Paulo Sérgio Mota,pt POR,DFMF,Moreirense,30,1991,25.7,662,1051,63.0,11746,5556,311,373,83.4,263,392,67.1,70,215,32.6,2,2.7,3.2,-0.7,27,63,22,14,53,Matches,1c235226
494,André Silva,br BRA,FW,Arouca,24,1997,28.1,504,750,67.2,7432,1525,300,399,75.2,149,219,68.0,31,49,63.3,3,3.6,2.7,-0.6,37,42,12,4,40,Matches,dde93e2c
495,Bernardo Silva,pt POR,DF,Famalicão,20,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,5da1a8b1
496,Diogo Silva,br BRA,DF,Gil Vicente FC,26,1995,2.5,156,166,94.0,3540,985,34,34,100.0,96,99,97.0,25,31,80.6,0,0.0,0.0,0.0,0,2,0,0,6,Matches,26328b22
497,João Miguel Macedo Silva,pt POR,GK,Marítimo,26,1995,4.0,111,139,79.9,2789,2006,28,29,96.6,53,57,93.0,30,53,56.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches,1c98558c
498,João Pedro Sousa Silva,pt POR,FWMF,Paços,24,1996,5.6,84,137,61.3,1260,293,46,65,70.8,28,46,60.9,5,9,55.6,0,0.4,0.4,-0.4,5,16,1,0,8,Matches,0629941f
499,Jorge Fernando Santos Silva,pt POR,DF,Paços,25,1996,4.5,119,214,55.6,2471,1306,43,50,86.0,56,82,68.3,19,68,27.9,1,0.4,0.5,+0.6,7,11,3,3,7,Matches,4851e9ca
500,Leandro Miguel Pereira Silva,pt POR,MF,Arouca,27,1994,24.4,900,1248,72.1,18331,6923,316,383,82.5,416,528,78.8,159,282,56.4,1,3.3,3.7,-2.3,39,153,34,10,118,Matches,0488e49f
501,Lucas Silva,br BRA,FWMF,Paços,23,1998,21.1,343,435,78.9,4699,701,209,237,88.2,108,127,85.0,14,26,53.8,0,1.0,0.5,-1.0,12,11,9,3,12,Matches,aa47c6ce
502,Matheus Silva,br BRA,DFMF,Moreirense,23,1997,5.3,152,222,68.5,2605,1123,69,85,81.2,63,80,78.8,13,31,41.9,0,0.6,0.7,-0.6,5,10,2,2,8,Matches,79ccb6eb
503,Pedro Manuel da Silva Moreira,pt POR,MF,Arouca,32,1989,19.1,545,659,82.7,8278,1809,287,338,84.9,205,231,88.7,30,36,83.3,1,0.5,0.7,+0.5,9,36,4,1,27,Matches,8f025475
504,Pedro José Moreira Silva,pt POR,GK,Vizela,24,1997,18.0,310,461,67.2,8842,6408,47,47,100.0,159,169,94.1,104,241,43.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,f829f728
505,Rafa Silva,pt POR,MFFW,Benfica,28,1993,22.6,678,846,80.1,9066,2290,431,485,88.9,204,254,80.3,15,31,48.4,14,10.0,5.0,+4.0,45,56,47,6,79,Matches,70cf63ca
506,Raul Silva,br BRA,DF,Estoril,31,1989,5.6,297,337,88.1,5996,2061,74,85,87.1,198,209,94.7,23,34,67.6,0,0.0,0.1,0.0,0,20,1,0,23,Matches,b3aed40d
507,Raul Silva,br BRA,DF,Braga,31,1989,5.7,347,400,86.8,6383,2229,119,125,95.2,193,216,89.4,30,50,60.0,0,0.0,0.0,0.0,0,17,0,0,14,Matches,b3aed40d
508,Tiago Silva,pt POR,MF,Vitória,28,1993,21.9,883,1110,79.5,17368,5530,337,389,86.6,378,433,87.3,146,240,60.8,4,2.9,2.6,+1.1,37,133,19,7,106,Matches,44d0de01
509,Sílvio,pt POR,DF,Vitória,33,1987,0.3,5,6,83.3,74,18,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ec6e2549
510,David Simão,pt POR,MF,Arouca,31,1990,12.5,478,611,78.2,9023,2965,199,228,87.3,200,232,86.2,68,125,54.4,2,1.4,2.0,+0.6,15,42,7,1,36,Matches,fcef3903
511,Eduardo Simões,pt POR,DF,Tondela,19,2002,17.1,652,762,85.6,12125,4490,238,265,89.8,340,376,90.4,63,96,65.6,1,0.2,0.1,+0.8,3,39,1,0,37,Matches,7ec723b7
512,Sphephelo Sithole,za RSA,MF,B-SAD,22,1999,16.6,608,747,81.4,10190,2754,299,342,87.4,238,270,88.1,56,94,59.6,0,0.3,0.4,-0.3,8,52,6,1,54,Matches,33bcd4b3
513,Islam Slimani,dz ALG,FW,Sporting CP,33,1988,4.8,78,114,68.4,1106,194,46,67,68.7,23,31,74.2,5,7,71.4,1,0.3,0.1,+0.7,4,4,4,0,8,Matches,ffec9769
514,Eduardo Soares,pt POR,FW,Braga,19,2001,0.1,3,4,75.0,34,1,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches,bb2265fb
515,Everton Soares,br BRA,MFFW,Benfica,25,1996,17.8,523,695,75.3,7917,2641,301,336,89.6,167,217,77.0,34,73,46.6,5,5.1,4.7,-0.1,40,43,33,5,75,Matches,b1cbc666
516,Filipe Soares,pt POR,MF,Moreirense,22,1999,11.2,296,382,77.5,5640,1403,109,139,78.4,141,160,88.1,38,52,73.1,0,0.7,0.7,-0.7,4,44,5,0,25,Matches,c6a3b58d
517,Marco Soares,cv CPV,FWMF,Arouca,37,1984,0.4,15,18,83.3,340,140,4,4,100.0,8,9,88.9,3,5,60.0,0,0.0,0.1,0.0,1,1,0,0,2,Matches,2b2ce85a
518,Rafa Soares,pt POR,DF,Vitória,26,1995,28.2,1039,1461,71.1,18390,6727,471,540,87.2,441,598,73.7,107,248,43.1,4,3.7,3.5,+0.3,41,69,37,23,80,Matches,062fc2e6
519,Tim Söderström,se SWE,DF,Marítimo,27,1994,0.8,23,28,82.1,377,83,13,16,81.3,8,9,88.9,2,3,66.7,0,0.0,0.1,0.0,1,1,1,1,0,Matches,f162adb9
