Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,2,7,28.6,23,2,1,3,33.3,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,b9887ae0
2,Dirk Abels,nl NED,DFMF,Sparta R'dam,24,1997,32.2,1049,1460,71.8,18151,8357,469,565,83.0,460,602,76.4,94,218,43.1,0,0.9,1.0,-0.9,12,90,7,3,81,Matches,3c3bd200
3,Zakaria Aboukhlal,ma MAR,FWMF,AZ Alkmaar,21,2000,9.1,170,249,68.3,2278,616,96,132,72.7,56,70,80.0,6,10,60.0,1,1.0,0.8,0.0,7,6,14,2,22,Matches,c2a6033c
4,Paulos Abraham,se SWE,FWMF,Groningen,19,2002,15.0,210,310,67.7,3297,877,103,124,83.1,75,106,70.8,19,39,48.7,2,1.3,1.8,+0.7,13,25,12,4,29,Matches,fd99de9d
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,579,748,77.4,11420,3966,187,224,83.5,316,366,86.3,67,121,55.4,0,0.3,0.4,-0.3,6,35,1,0,32,Matches,be98fc34
6,Luka Adžić,rs SRB,FWMF,Zwolle,22,1998,8.1,191,298,64.1,3058,1014,99,134,73.9,51,80,63.8,24,47,51.1,1,2.0,1.9,-1.0,22,13,10,8,13,Matches,e3207d47
7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,90,114,78.9,1674,693,34,40,85.0,44,51,86.3,11,22,50.0,0,0.0,0.0,0.0,1,4,0,0,2,Matches,b4706f20
8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,374,498,75.1,5166,930,219,270,81.1,102,133,76.7,23,36,63.9,0,2.3,1.7,-2.3,27,22,12,3,27,Matches,d9a0abd6
9,Hamdi Akujobi,nl NED,DFFW,Heerenveen,21,2000,1.6,82,103,79.6,1348,416,39,45,86.7,35,39,89.7,6,13,46.2,0,0.0,0.1,0.0,0,3,1,1,4,Matches,0b524c25
10,Pontus Almqvist,se SWE,FWMF,Utrecht,22,1999,2.9,33,48,68.8,484,75,20,28,71.4,10,14,71.4,1,2,50.0,0,0.1,0.1,-0.1,3,1,2,1,2,Matches,0917188a
11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,1533,1782,86.0,25731,6988,704,773,91.1,683,767,89.0,105,146,71.9,1,0.4,1.4,+0.6,9,124,12,0,105,Matches,8b3ab7ad
12,Mohamed Amissi,bi BDI,FWMF,Heracles Almelo,20,2000,1.4,27,36,75.0,417,54,17,17,100.0,6,9,66.7,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches,52b0c182
13,Djavan Anderson,nl NED,DFMF,Zwolle,26,1995,11.4,258,379,68.1,3941,1152,136,169,80.5,92,132,69.7,17,41,41.5,2,0.7,1.1,+1.3,9,14,7,2,18,Matches,ca241ad3
14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,973,1264,77.0,20218,7109,302,356,84.8,522,596,87.6,139,271,51.3,0,0.1,0.3,-0.1,1,40,4,0,48,Matches,41a1a2c8
15,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,903,1143,79.0,15568,5911,404,474,85.2,393,453,86.8,76,150,50.7,1,1.1,1.5,-0.1,13,126,8,1,106,Matches,2d368fd5
16,Antony,br BRA,FW,Ajax,21,2000,19.2,898,1156,77.7,13455,4074,494,569,86.8,300,377,79.6,61,112,54.5,4,4.5,6.5,-0.5,37,45,84,20,114,Matches,99127249
