Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,1,11,3,27.3,0.41,0.11,0.09,0.33,22.9,2,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,088ae0d1
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,2,10,3,30.0,1.16,0.35,0.20,0.67,22.7,3,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches,0921a46c
3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,65d62814
4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e40bdb5d
5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,0,5,2,40.0,0.40,0.16,0.00,0.00,14.5,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,a8f07c8f
6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,0,5,1,20.0,0.47,0.09,0.00,0.00,23.4,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,8fd083bb
7,Salvador Agra,pt POR,FWMF,Tondela,29,1991,29.0,6,54,24,44.4,1.86,0.83,0.09,0.21,21.9,12,1,1,6.6,5.8,0.11,-0.6,-0.8,Matches,a130741a
8,Mohamed Aidara,ci CIV,DF,Vizela,24,1996,15.0,1,8,1,12.5,0.53,0.07,0.13,1.00,9.1,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Matches,09c61cb2
9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,1,7,2,28.6,0.36,0.10,0.14,0.50,17.4,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,6187871f
10,Alex,br BRA,DF,Famalicão,22,1999,16.4,0,3,1,33.3,0.18,0.06,0.00,0.00,9.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,7367baf7
11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,1,20,7,35.0,0.70,0.25,0.05,0.14,22.9,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches,cd6a1a59
12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,7,40,18,45.0,2.00,0.90,0.15,0.33,13.9,0,1,1,7.2,6.4,0.16,-0.2,-0.4,Matches,488ee64c
13,Allano,br BRA,FWMF,Santa Clara,26,1995,12.1,2,11,0,0.0,0.91,0.00,0.00,,22.9,0,2,2,2.9,1.3,0.12,-0.9,-1.3,Matches,9c1245f8
14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,0,4,0,0.0,0.45,0.00,0.00,,16.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches,67b3d74b
15,Domingos André Ribeiro Almeida,pt POR,MFFW,Vitória,21,2000,20.2,0,22,0,0.0,1.09,0.00,0.00,,24.3,0,0,1,1.4,1.3,0.06,-1.4,-1.3,Matches,e6697917
16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,0,1,0,0.0,1.34,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,dd83724a
17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,0,5,1,20.0,3.28,0.66,0.00,0.00,16.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,0afff3b7
18,Alejandro Alvarado Jr.,us USA,MFFW,Vizela,18,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,14c93be3
19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,0,4,0,0.0,1.17,0.00,0.00,,29.3,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2102b074
20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,0,1,0,0.0,0.12,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,29f81bd9
21,Ricardo Miguel Martins Alves,pt POR,DFMF,Tondela,30,1991,9.2,0,10,2,20.0,1.09,0.22,0.00,0.00,15.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches,cc5eeb16
22,Pedro Amador,pt POR,MFDF,Moreirense,22,1998,13.3,0,8,2,25.0,0.60,0.15,0.00,0.00,18.5,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,00dad262
23,Amarildo,br BRA,DF,Famalicão,22,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b5dd8abd
24,André Amaro,co COL,DF,Vitória,18,2002,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cdb9b8f2
25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,1,8,3,37.5,0.36,0.14,0.13,0.33,14.6,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches,801f3d1d
26,Anderson,br BRA,FWMF,Portimonense,23,1998,11.4,1,15,5,33.3,1.31,0.44,0.07,0.20,22.0,1,0,1,1.8,1.1,0.07,-0.8,-0.1,Matches,4242a0a1
27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f667eb16
