Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,0,4,0,0.0,0.28,0.00,0.00,,6.3,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,070eb3e3
29,André André,pt POR,MF,Vitória,31,1989,10.4,1,6,0,0.0,0.58,0.00,0.00,,21.8,0,1,1,1.0,0.3,0.04,0.0,-0.3,Matches,9f31b1d3
30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6a321e80
31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,40406a00
32,Iván Angulo,co COL,FWMF,Portimonense,22,1999,26.2,1,18,5,27.8,0.69,0.19,0.06,0.20,18.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,55a5d959
33,Antony,br BRA,FWMF,Arouca,19,2001,7.4,2,11,4,36.4,1.49,0.54,0.18,0.50,19.1,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Matches,6a2381f7
34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,3,32,6,18.8,1.13,0.21,0.03,0.17,30.5,15,2,2,3.1,1.5,0.05,-0.1,-0.5,Matches,3e4f735d
35,Bilel Aouacheria,fr FRA,FWMF,Gil Vicente FC,27,1994,7.1,0,9,2,22.2,1.26,0.28,0.00,0.00,22.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,77bbc5b1
36,Wilinton Aponzá,co COL,FWMF,Portimonense,21,2000,8.3,1,14,6,42.9,1.69,0.73,0.07,0.17,15.0,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches,6d058717
37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,100104d1
38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,3,11,4,36.4,8.11,2.95,0.27,0.75,8.2,0,0,0,2.9,2.9,0.26,+0.1,+0.1,Matches,353eb529
39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,925dd6eb
40,Tiago Araújo,pt POR,DFFW,Arouca,20,2001,5.3,0,5,2,40.0,0.95,0.38,0.00,0.00,20.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,1b54edb3
41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,0,1,0,0.0,0.94,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,354d98ae
42,Telmo Arcanjo,cv CPV,MFFW,Tondela,20,2001,1.4,0,6,1,16.7,4.43,0.74,0.00,0.00,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,c692cef2
43,Arthur,br BRA,FWMF,Estoril,23,1998,24.4,2,26,8,30.8,1.07,0.33,0.08,0.25,20.2,1,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches,184ad240
